record_id,source,doi,title,year,status,matched_rule,matched_record_id,matched_source
S_94,Scopus,10.1016/j.ebiom.2024.105041,Desulfovibrio desulfuricans and its derived metabolites confer resistance to FOLFOX through METTL3,2024,removed as duplicate,exact DOI match,W_647,WoS
S_96,Scopus,10.3390/medicina61091595,Clinical Evidence for Microbiome-Based Strategies in Cancer Immunotherapy: A State-of-the-Art Review,2025,removed as duplicate,exact DOI match,W_123,WoS
S_97,Scopus,10.3389/fonc.2025.1511560,Expanding horizons of cancer immunotherapy: hopes and hurdles,2025,removed as duplicate,exact DOI match,W_73,WoS
S_98,Scopus,10.1016/j.cmet.2023.11.019,Targeting gut microbial nitrogen recycling and cellular uptake of ammonium to improve bortezomib resistance in multiple myeloma,2024,removed as duplicate,exact DOI match,W_574,WoS
S_99,Scopus,10.1002/jbm.a.37732,Bioengineered carbohydrate polymers for colon-specific drug release: Current trends and future prospects,2024,removed as duplicate,exact DOI match,W_948,WoS
S_100,Scopus,10.21037/tlcr-2025-973,Fecal microbiota transplantation plus immune checkpoint inhibitor rechallenges in patients with advanced non-small cell lung cancer: a single-arm exploratory study,2025,removed as duplicate,exact DOI match,W_165,WoS
S_103,Scopus,10.1039/d4tb02409e,Strategic use of nanomaterials as double-edged therapeutics to control carcinogenesis via regulation of dysbiosis and bacterial infection: current status and future prospects,2025,removed as duplicate,exact DOI match,W_576,WoS
S_104,Scopus,10.1080/14787210.2025.2569831,"Updates on Candida albicans infections: pathogenesis, resistance, and emerging nanopharmaceutical strategies",2025,removed as duplicate,exact DOI match,W_540,WoS
S_109,Scopus,10.1016/j.bpg.2024.101944,The role of the gut microbiome in regulating the response to immune checkpoint inhibitor therapy,2024,removed as duplicate,exact DOI match,W_7,WoS
S_110,Scopus,10.1016/j.ajpath.2024.11.004,"Gut Microbiome and Bile Acid Interactions: Mechanistic Implications for Cholangiocarcinoma Development, Immune Resistance, and Therapy",2025,removed as duplicate,exact DOI match,W_367,WoS
S_111,Scopus,10.1111/febs.17123,"Exploring the human archaeome: its relevance for health and disease, and its complex interplay with the human immune system",2025,removed as duplicate,exact DOI match,W_933,WoS
S_113,Scopus,10.1186/s12896-024-00835-8,Derivation of a novel antimicrobial peptide from the Red Sea Brine Pools modified to enhance its anticancer activity against U2OS cells,2024,removed as duplicate,exact DOI match,W_926,WoS
S_114,Scopus,10.1186/s12943-025-02402-x,Chronic stress: a fourth etiology in tumorigenesis?,2025,removed as duplicate,exact DOI match,W_902,WoS
S_115,Scopus,10.3390/foods13071133,Weissella cibaria Relieves Gut Inflammation Caused by Escherichia coli through Inflammation Modulation and Gut Microbiota Regulation,2024,removed as duplicate,exact DOI match,W_214,WoS
S_117,Scopus,10.1016/j.actbio.2024.06.042,Antibacterial tellurium-containing polycarbonate drug carriers to eliminate intratumor bacteria for synergetic chemotherapy against colorectal cancer,2024,removed as duplicate,exact DOI match,W_945,WoS
S_118,Scopus,10.1158/2326-6066.cir-23-0498,Immune-Related Colitis Is Associated with Fecal Microbial Dysbiosis and Can Be Mitigated by Fecal Microbiota Transplantation,2024,removed as duplicate,exact DOI match,W_172,WoS
S_120,Scopus,10.3390/microorganisms13091980,Microbial Landscapes of the Gut–Biliary Axis: Implications for Benign and Malignant Biliary Tract Diseases,2025,removed as duplicate,exact DOI match,W_279,WoS
S_121,Scopus,10.1186/s13099-024-00660-6,Washed microbiota transplantation stopped recurrent sepsis in a patient with myelofibrosis: a case report,2024,removed as duplicate,exact DOI match,W_607,WoS
S_124,Scopus,10.1016/j.addr.2025.115671,Classic versus innovative strategies for immuno-therapy in pancreatic cancer,2025,removed as duplicate,exact DOI match,W_86,WoS
S_125,Scopus,10.3390/biomedicines13040964,Molecular Alterations in Gastric Intestinal Metaplasia Shed Light on Alteration of Methionine Metabolism: Insight into New Diagnostic and Treatment Approaches,2025,removed as duplicate,exact DOI match,W_616,WoS
S_126,Scopus,10.3389/fmed.2025.1673880,The microbiome as a therapeutic co-driver in melanoma immuno-oncology,2025,removed as duplicate,exact DOI match,W_75,WoS
S_128,Scopus,10.3390/biom15111546,Gut Microbiota and Ferroptosis in Colorectal Cancer: A Comprehensive Review of Mechanisms and Therapeutic Strategies to Overcome Immune Checkpoint Resistance,2025,removed as duplicate,exact DOI match,W_161,WoS
S_130,Scopus,10.1097/md.0000000000044325,From crisis to recovery: A case report on nursing strategies for hepatitis E post-cardiac arrest,2025,removed as duplicate,exact DOI match,W_973,WoS
S_134,Scopus,10.1186/s12879-025-10756-2,Altered KEGG pathways are associated with different immunologic responses to antiretroviral therapy in HIV-infected men who have sex with men,2025,removed as duplicate,exact DOI match,W_794,WoS
S_135,Scopus,10.1007/s11626-025-01058-7,Enhancement of 5-fluorouracil efficacy in colorectal cancer cells through thymidylate synthase inhibition by sodium propionate,2025,removed as duplicate,exact DOI match,W_673,WoS
S_137,Scopus,10.1186/s12885-025-15309-z,Analysis of the predictive effect of gut microbiota changes on the occurrence of chemotherapy resistance in pancreatic cancer patients based on nomogram prediction models,2025,removed as duplicate,exact DOI match,W_449,WoS
S_138,Scopus,10.1097/hep.0000000000000237,Mechanisms of drug resistance in HCC,2024,removed as duplicate,exact DOI match,W_468,WoS
S_139,Scopus,10.3389/fimmu.2025.1575452,Gut dysbiosis in cancer immunotherapy: microbiota-mediated resistance and emerging treatments,2025,removed as duplicate,exact DOI match,W_220,WoS
S_141,Scopus,10.1002/cam4.70994,Gut Microbiota Reshapes the Tumor Microenvironment and Affects the Efficacy of Colorectal Cancer Immunotherapy,2025,removed as duplicate,exact DOI match,W_8,WoS
S_142,Scopus,10.7150/jca.108163,Strategies to Overcome PD-1/PD-L1 Blockade Resistance: Focusing on Combination with Immune Checkpoint Blockades,2025,removed as duplicate,exact DOI match,W_371,WoS
S_143,Scopus,10.1016/j.xcrm.2024.101900,Intestinal Akkermansia muciniphila complements the efficacy of PD1 therapy in MAFLD-related hepatocellular carcinoma,2025,removed as duplicate,exact DOI match,W_109,WoS
S_145,Scopus,10.1021/acs.nanolett.4c03692,Antibiotic-Augmented Chemodynamic Therapy for Treatment of Helicobacter pylori Infection in the Dynamic Stomach Environment,2024,removed as duplicate,exact DOI match,W_374,WoS
S_146,Scopus,10.3390/antiox13121544,"Vanillin Has Potent Antibacterial, Antioxidant, and Anti-Inflammatory Activities In Vitro and in Mouse Colitis Induced by Multidrug-Resistant Escherichia coli",2024,removed as duplicate,exact DOI match,W_645,WoS
S_147,Scopus,10.3389/fmicb.2025.1596900,Bloodstream infections epidemiology and clinical outcomes after 1 year post allogeneic hematogenous stem cell transplantation,2025,removed as duplicate,exact DOI match,W_727,WoS
S_149,Scopus,10.1016/j.xcrm.2025.102370,Phocaeicola vulgatus induces immunotherapy resistance in hepatocellular carcinoma via reducing indoleacetic acid production,2025,removed as duplicate,exact DOI match,W_284,WoS
S_152,Scopus,10.1136/jitc-2025-012659,Improved survival in advanced melanoma patients treated with fecal microbiota transplantation using healthy donor stool in combination with anti-PD1: final results of the MIMic phase 1 trial,2025,removed as duplicate,exact DOI match,W_116,WoS
S_153,Scopus,10.1016/j.mtbio.2025.101920,Synergistic ROS/enzyme dual-responsive oral drug delivery system: A novel multi-mechanistic platform for spatiotemporal control and overcoming drug resistance in colorectal cancer therapy,2025,removed as duplicate,exact DOI match,W_347,WoS
S_154,Scopus,10.1007/s40263-025-01195-3,"Peripheral Immune-Inflammatory Pathways in Major Depressive Disorder, Bipolar Disorder, and Schizophrenia: Exploring Their Potential as Treatment Targets",2025,removed as duplicate,exact DOI match,W_471,WoS
S_157,Scopus,10.5114/aoms/209544,Potential role of microbiota in ovarian cancer treatment,2025,removed as duplicate,exact DOI match,W_339,WoS
S_160,Scopus,10.1158/0008-5472.can-24-1609,"Fungal Influences on Cancer Initiation, Progression, and Response to Treatment",2025,removed as duplicate,exact DOI match,W_784,WoS
S_163,Scopus,10.1016/j.phymed.2025.157559,Shenling Baizhu Powder potentiates immunotherapy response: putative roles of gut microbial remodeling and fatty acid metabolism modulation,2025,removed as duplicate,exact DOI match,W_390,WoS
S_164,Scopus,10.1186/s12943-024-02137-1,"Prostate cancer microenvironment: multidimensional regulation of immune cells, vascular system, stromal cells, and microbiota",2024,removed as duplicate,exact DOI match,W_835,WoS
S_166,Scopus,10.3389/fonc.2025.1525280,Research hotspots and frontiers in the tumor microenvironment of colorectal cancer: a bibliometric study from 2014 to 2024,2025,removed as duplicate,exact DOI match,W_193,WoS
S_168,Scopus,10.1186/s12575-025-00314-0,A Novel Strategy for Enhancing Lung Cancer Immunotherapy Efficacy: Traditional Chinese Medicine Formula Shuyu Pills Enhances Anti-PD-1 Efficacy Via the “GM-ERS-Immunity” Axis,2025,removed as duplicate,exact DOI match,W_208,WoS
S_170,Scopus,10.1177/15330338251331960,"The Gut Microbiome and Its Multifaceted Role in Cancer Metabolism, Initiation, and Progression: Insights and Therapeutic Implications",2025,removed as duplicate,exact DOI match,W_278,WoS
S_171,Scopus,10.1016/j.dnarep.2024.103739,Repair of genomic interstrand crosslinks,2024,removed as duplicate,exact DOI match,W_886,WoS
S_172,Scopus,10.1016/j.jri.2024.104241,"Potential tools for predicting response to chemotherapy in OC: Assessment of immune dysbiosis, participant's self-rated health and microbial dynamics",2024,removed as duplicate,exact DOI match,W_708,WoS
S_173,Scopus,10.1007/s00262-025-04221-x,Research progress in the construction and application of immunotherapy resistance models,2025,removed as duplicate,exact DOI match,W_413,WoS
S_174,Scopus,10.1186/s13046-025-03519-z,Immunotherapy resistance in non-small cell lung cancer: from mechanisms to therapeutic opportunities,2025,removed as duplicate,exact DOI match,W_149,WoS
S_175,Scopus,10.2174/0113892002393013250812093213,Natural Compounds as Potential Therapeutics for Pancreatic Cancer: A Narrative Review,2025,removed as duplicate,exact DOI match,W_611,WoS
S_176,Scopus,10.1016/j.canlet.2025.217975,"Altering the gut microbiome and tumor microenvironment in advanced liver cancer: A phase II study of nivolumab, tadalafil and oral vancomycin in patients with refractory primary hepatocellular carcinoma or liver dominant metastatic cancer from colorectal or pancreatic cancers",2025,removed as duplicate,exact DOI match,W_297,WoS
S_179,Scopus,10.1007/s10495-025-02085-1,Effects of microplastics on chemo-resistance and tumorigenesis of colorectal cancer,2025,removed as duplicate,exact DOI match,W_761,WoS
S_180,Scopus,10.3389/fimmu.2024.1450927,From microbes to medicine: harnessing the power of the microbiome in esophageal cancer,2024,removed as duplicate,exact DOI match,W_244,WoS
S_182,Scopus,10.1038/s41571-024-00908-9,Exploiting bacteria for cancer immunotherapy,2024,removed as duplicate,exact DOI match,W_668,WoS
S_184,Scopus,10.3389/fcimb.2025.1692312,Crosstalk between neutrophil extracellular traps and gut microbiota in ulcerative colitis: traditional Chinese medicine strategies,2025,removed as duplicate,exact DOI match,W_548,WoS
S_190,Scopus,10.1016/j.prp.2024.155387,Fecal microbiome extract downregulates the expression of key proteins at the interface between airway remodelling and lung cancer pathogenesis in vitro,2024,removed as duplicate,exact DOI match,W_603,WoS
S_191,Scopus,10.1038/s41467-024-51534-z,Probiotics functionalized with a gallium-polyphenol network modulate the intratumor microbiota and promote anti-tumor immune responses in pancreatic cancer,2024,removed as duplicate,exact DOI match,W_481,WoS
S_193,Scopus,10.1016/j.xcrm.2023.101376,Tolerance to colibactin correlates with homologous recombination proficiency and resistance to irinotecan in colorectal cancer cells,2024,removed as duplicate,exact DOI match,W_885,WoS
S_194,Scopus,10.1016/j.ijbiomac.2024.136828,Targeting purine metabolism-related enzymes for therapeutic intervention: A review from molecular mechanism to therapeutic breakthrough,2024,removed as duplicate,exact DOI match,W_513,WoS
S_196,Scopus,10.1016/j.jep.2025.119972,Current evidence for Banxia Xiexin decoction in gastrointestinal tumors and future research perspectives,2025,removed as duplicate,exact DOI match,W_707,WoS
S_199,Scopus,10.3389/fimmu.2025.1630940,Breakthroughs in immune checkpoint therapy: overcoming NSCLC immune checkpoint therapy resistance with novel techniques,2025,removed as duplicate,exact DOI match,W_79,WoS
S_200,Scopus,10.1097/cco.0000000000001120,The role of the microbiome in skin cancer development and treatment,2025,removed as duplicate,exact DOI match,W_103,WoS
S_201,Scopus,10.1007/s12032-024-02416-3,Revealing the therapeutic properties of gut microbiota: transforming cancer immunotherapy from basic to clinical approaches,2024,removed as duplicate,exact DOI match,W_215,WoS
S_202,Scopus,10.3390/cells14070540,Insights into Autophagy in Microbiome Therapeutic Approaches for Drug-Resistant Tuberculosis,2025,removed as duplicate,exact DOI match,W_840,WoS
S_203,Scopus,10.1002/cam4.71065,Current Advances and Future Directions for Sensitizing Gastric Cancer to Immune Checkpoint Inhibitors,2025,removed as duplicate,exact DOI match,W_114,WoS
S_204,Scopus,10.14336/ad.2023.0520,MYC Oncogene: A Druggable Target for Treating Cancers with Natural Products,2024,removed as duplicate,exact DOI match,W_719,WoS
S_207,Scopus,10.1016/j.ijbiomac.2025.146911,Identification of Core gene expression alterations regulated by gut microbiota in tumor progression and immunotherapy resistance through integrative pan-cancer analysis,2025,removed as duplicate,exact DOI match,W_433,WoS
S_208,Scopus,10.3389/fimmu.2025.1642091,"Tumor-associated macrophages in colon cancer immunotherapy: mechanisms, natural product interventions, and microenvironment remodeling",2025,removed as duplicate,exact DOI match,W_510,WoS
S_209,Scopus,10.1093/database/baae124,MiCK: A database of gut microbial genes linked with chemoresistance in cancer patients,2024,removed as duplicate,exact DOI match,W_167,WoS
S_211,Scopus,10.1097/md.0000000000036957,Exploring the landscape of drug resistance in gastrointestinal cancer immunotherapy: A review,2024,removed as duplicate,exact DOI match,W_173,WoS
S_212,Scopus,10.3390/microorganisms13122818,Deciphering the Post-Operative Dynamics of Opportunistic Gut Microbiota in Colorectal Cancer Patients,2025,removed as duplicate,exact DOI match,W_423,WoS
S_213,Scopus,10.3390/cancers17223606,The Microbiome and Genitourinary Cancers: A New Frontier,2025,removed as duplicate,exact DOI match,W_191,WoS
S_214,Scopus,10.3390/cancers17203348,"Fusobacteriumnucleatum: Pathophysiological and Clinical Involvement in Inflammatory Bowel Diseases, Colorectal Cancer and Cardiovascular Diseases",2025,removed as duplicate,exact DOI match,W_663,WoS
S_215,Scopus,10.1128/spectrum.02792-24,Gut commensal bacteria influence colorectal cancer development by modulating immune response in AOM/DSS-treated mice,2025,removed as duplicate,exact DOI match,W_192,WoS
S_216,Scopus,10.3390/biomedicines13020339,Probiotic-Derived Metabolites from Lactiplantibacillus plantarum OC01 Reprogram Tumor-Associated Macrophages to an Inflammatory Anti-Tumoral Phenotype: Impact on Colorectal Cancer Cell Proliferation and Migration,2025,removed as duplicate,exact DOI match,W_743,WoS
S_217,Scopus,10.1038/s41467-025-61161-x,Gut microbial bile and amino acid metabolism associate with peanut oral immunotherapy failure,2025,removed as duplicate,exact DOI match,W_532,WoS
S_219,Scopus,10.3389/fimmu.2024.1486592,Tigecycline-induced coagulation gene prognostic prediction model and intestinal flora signature in AML,2024,removed as duplicate,exact DOI match,W_333,WoS
S_220,Scopus,10.2147/dddt.s557114,"Rhubarb: Traditional Uses, Phytochemistry, Multiomics-Based Novel Pharmacological and Toxicological Mechanisms",2025,removed as duplicate,exact DOI match,W_737,WoS
S_223,Scopus,10.3390/jcm14228015,Modulating the Gut Microbiota via Rectal Ozone Insufflation in Gynecological Cancer Patients with Radiotherapy/Chemotherapy-Induced Pelvic Toxicity: A Proposed Clinical Study Protocol,2025,removed as duplicate,exact DOI match,W_438,WoS
S_225,Scopus,10.3389/fphys.2025.1621358,Dual role of lactate in human health and disease,2025,removed as duplicate,exact DOI match,W_409,WoS
S_226,Scopus,10.1007/s00262-025-04118-9,Gut modulation to regulate NF-κB in colorectal and gastric cancer therapy and inflammation,2025,removed as duplicate,exact DOI match,W_211,WoS
S_227,Scopus,10.1016/j.ajg.2025.09.010,Innovative approaches in HELICOBACTER pylori therapy: Clinical trials and advancements in Gastro-Retentive drug delivery systems,2025,removed as duplicate,exact DOI match,W_164,WoS
S_228,Scopus,10.1016/j.chom.2025.05.004,"Bacteroides fragilis promotes chemoresistance in colorectal cancer, and its elimination by phage VA7 restores chemosensitivity",2025,removed as duplicate,exact DOI match,W_286,WoS
S_230,Scopus,10.1128/cmr.00212-24,BCG therapy in bladder cancer and its tumor microenvironment interactions,2025,removed as duplicate,exact DOI match,W_689,WoS
S_232,Scopus,10.1016/j.semcancer.2025.06.012,Advances and mechanisms of gut microbiota modulation in enhancing immune checkpoint inhibitor efficacy,2025,removed as duplicate,exact DOI match,W_14,WoS
S_233,Scopus,10.3390/cancers17050719,The Role of the Gut Microbiota in Modulating Signaling Pathways and Oxidative Stress in Glioma Therapies,2025,removed as duplicate,exact DOI match,W_182,WoS
S_234,Scopus,10.3390/ijms251810120,Immune Checkpoint Inhibitor Therapy for Metastatic Melanoma: What Should We Focus on to Improve the Clinical Outcomes?,2024,removed as duplicate,exact DOI match,W_50,WoS
S_236,Scopus,10.3390/cancers16244271,Insights into the Relationship Between the Gut Microbiome and Immune Checkpoint Inhibitors in Solid Tumors,2024,removed as duplicate,exact DOI match,W_58,WoS
S_237,Scopus,10.3390/pharmaceutics17070820,"Phage Therapy in Managing Multidrug-Resistant (MDR) Infections in Cancer Therapy: Innovations, Complications, and Future Directions",2025,removed as duplicate,exact DOI match,W_697,WoS
S_238,Scopus,10.1186/s12967-024-05564-2,The multifaceted role of the stroma in the healthy prostate and prostate cancer,2024,removed as duplicate,exact DOI match,W_938,WoS
